RUT,Ap. Paterno,Ap. Materno,Nombres,Nombre completo apoderado,Teléfono apoderado
41620480-3,Purdy,Champlin,Betsy,Levi Purdy Glover,995167170
45877712-1,Boyer,Bode,Alphonso,Luci Boyer O'Conner,966728785
45341023-7,Goodwin,Rodriguez,Benny,Marcos Goodwin Ortiz,943983765
45155563-6,Smitham,Kreiger,Deadra,Walter Smitham Ondricka,995232139
46595786-0,Schroeder,Marquardt,Josiah,Shannon Schroeder Emard,964077966
49915427-5,Howell     ,Kassulke    ,Percy    ,Rickie Howell Willms       ,993307659
40345264-5,Kling      ,Powlowski   ,Branden  ,Lee Kling Von              ,959441647
47316962-1,Jacobs     ,Schmeler    ,Krystal  ,Shawana Jacobs Pfeffer     ,972068941
47278890-2,Schaefer   ,Schamberger ,Lacy     ,Samira Schaefer Beer       ,999023800
41242635-1,Reilly     ,Macejkovic  ,Lewis    ,Stephen Reilly Keebler     ,986965664
47880038-7,Dickinson  ,Labadie     ,Bobette  ,Mac Dickinson O'Conner     ,989573729
48412632-5,Thiel      ,Rempel      ,Galen    ,Chandra Thiel Medhurst     ,965691092
48717873-6,Beatty     ,Pfannerstill,Antonio  ,Willie Beatty Feest        ,949368395
48558008-4,Hodkiewicz ,Wilderman   ,Willy    ,Zenia Hodkiewicz Braun     ,952723551
48751310-8,Kiehn      ,Hettinger   ,Duncan   ,Junita Kiehn Stark         ,999591239
RUT       ,Ap. Paterno,Ap. Materno ,Nombres  ,Nombre completo apoderado  ,Teléfono apoderado
39360608-6,Prosacco   ,Gusikowski  ,Gwendolyn,Rhonda Prosacco Gleichner  ,983791542
34794837-5,Schoen     ,Graham      ,Suzy     ,Oren Schoen Cummings       ,984880372
34666938-5,Cremin     ,Abbott      ,Alvaro   ,Steve Cremin Baumbach      ,984858467
32567619-8,Bayer      ,Turner      ,Ethelene ,Winfred Bayer Murphy       ,991969745
35205567-7,Ryan       ,Weimann     ,Elicia   ,Maryanna Ryan Denesik      ,980388912
43943896-7,Bruen      ,Halvorson   ,Wilda    ,Antonetta Bruen Borer      ,967039591
35553183-8,VonRueden  ,Marks       ,Arica    ,Juliette VonRueden Bogisich,954665316
47291340-4,Sporer     ,Considine   ,Ron      ,Carita Sporer Fisher       ,958684390
32068786-3,Witting    ,Pagac       ,Troy     ,Tameika Witting Labadie    ,952448999
48458775-5,Romaguera  ,Cremin      ,Catarina ,Florencia Romaguera Willms ,986294679
37875472-4,O'Reilly   ,Sawayn      ,Laura    ,Opal O'Reilly Blick        ,941214070
44754068-1,West       ,Grimes      ,Kristine ,Irwin West Dietrich        ,964949933
35714393-3,Wolff      ,Cole        ,Lore     ,Dannie Wolff Kuhic         ,963494561
42704379-8,Batz       ,Mohr        ,Terry    ,Hipolito Batz Lockman      ,979068726
32521196-7,Bergnaum   ,Cremin      ,Tommie   ,Kathryne Bergnaum Powlowski,970127187
