RUT       ,Ap. Paterno,Ap. Materno,Nombres ,Nombre completo apoderado   ,Teléfono apoderado
33438206-2,Beer       ,Kuphal     ,Cyrus   ,Leslie Beer Predovic        ,979205602
42634329-6,Sawayn     ,Zboncak    ,Pennie  ,Dorsey Sawayn Marvin        ,978666313
45667540-3,Lakin      ,Gerhold    ,Rickie  ,Edelmira Lakin Wunsch       ,972391436
30064831-4,Kunde      ,Raynor     ,Bong    ,Moises Kunde Kreiger        ,958132371
44763846-8,Bins       ,Thompson   ,Modesta ,Fidel Bins Schneider        ,969813268
42283232-5,Jast       ,Abshire    ,Brain   ,Jeraldine Jast Nikolaus     ,990230097
39510198-3,Bednar     ,Luettgen   ,Lee     ,Cristina Bednar Effertz     ,968372968
36955227-7,Hayes      ,Connelly   ,Clarence,Elyse Hayes O'Reilly        ,982467350
48086591-7,Heidenreich,Rodriguez  ,Graig   ,Jennifer Heidenreich Stracke,989423925
42532289-5,Romaguera  ,Kulas      ,Jimmy   ,Chasidy Romaguera Kshlerin  ,993781693
31421928-5,Farrell    ,Ferry      ,Lisette ,Pandora Farrell Hayes       ,946609352
38588708-5,Ward       ,Ward       ,Hattie  ,Jackie Ward Kuhlman         ,957093318
43257583-6,Lowe       ,Thompson   ,Daryl   ,Lois Lowe Ullrich           ,993245618
36602585-4,Morissette ,Herzog     ,Dale    ,Hayden Morissette Homenick  ,948807288
42264929-3,Osinski    ,Lynch      ,Iliana  ,Cristie Osinski Wolff       ,966835874
