RUT       ,Ap. Paterno ,Ap. Materno,Nombres  ,Nombre completo apoderado  ,Teléfono apoderado
48081528-5,Halvorson   ,Fahey      ,Jaime    ,Lavonna Halvorson Gleason  ,960558863
46877711-8,Bruen       ,Stiedemann ,Terence  ,Pasquale Bruen Hermann     ,944746179
42207860-5,Moen        ,Williamson ,Wilton   ,Imogene Moen Dietrich      ,988651114
41913128-5,Johns       ,Robel      ,Donnell  ,Jeramy Johns Sporer        ,951399750
43360585-7,Collier     ,Steuber    ,Jazmin   ,Shalanda Collier Mraz      ,956723424
34881045-7,Kuvalis     ,Glover     ,Julius   ,Foster Kuvalis Bosco       ,967603168
32613655-2,Simonis     ,Herzog     ,Henriette,Shaun Simonis Bosco        ,951378120
33115128-1,Kuhic       ,Konopelski ,Roger    ,Ilda Kuhic Prohaska        ,983012701
36903112-2,Christiansen,Shields    ,Travis   ,Pearly Christiansen Goldner,999482164
37753632-5,Lang        ,Hoppe      ,Fernando ,Clemencia Lang Mraz        ,993788987
43157641-6,Klocko      ,Franecki   ,Chantel  ,Callie Klocko Blick        ,970632875
35175014-7,Ankunding   ,Armstrong  ,Adolfo   ,Jonas Ankunding Hermiston  ,973011092
41164369-1,Bergstrom   ,Glover     ,Gary     ,Irwin Bergstrom Jast       ,965563936
38505597-1,Goyette     ,Howe       ,Bernetta ,Robbie Goyette Wiza        ,990746173
44199571-7,Stroman     ,Prosacco   ,Sung     ,Ignacio Stroman Hills      ,944876573
