Curso,Nivel,Paralelo,Nombre profesor jefe       ,Email profesor jefe         ,Telefono profesor jefe
4MB  ,12   ,B       ,Larita Donnelly Mills      ,collene.gleichner@gmail.com ,970880031
1MB  ,9    ,B       ,Alaina Lubowitz Crooks     ,star.gislason@yahoo.com     ,972404054
4BA  ,4    ,A       ,Samuel Hilll Botsford      ,jeremy.pfeffer@yahoo.com    ,952614025
3MB  ,11   ,B       ,Delmer Bechtelar Robel     ,delbert.zulauf@gmail.com    ,974092723
1BB  ,1    ,B       ,Melvina Stehr Hammes       ,tim.swift@gmail.com         ,964962075
5BB  ,5    ,B       ,Cedric Hansen Mraz         ,melonie.lueilwitz@gmail.com ,983636953
5BA  ,5    ,A       ,Normand Auer Hackett       ,tish.kunze@hotmail.com      ,947027390
4BB  ,4    ,B       ,Junita Bashirian Dach      ,anderson.robel@yahoo.com    ,989752378
6BB  ,6    ,B       ,Augustus Orn Schumm        ,dorsey.monahan@yahoo.com    ,949138031
1MA  ,9    ,A       ,Darline Koelpin Wilderman  ,stacia.waelchi@gmail.com    ,949485043
2BA  ,2    ,A       ,Ramon Miller Rice          ,sharice.keebler@gmail.com   ,979436161
8BB  ,8    ,B       ,Chadwick Nolan Metz        ,rico.halvorson@gmail.com    ,946541677
2BB  ,2    ,B       ,Tommie Pagac Veum          ,farah.hahn@gmail.com        ,958018159
7BB  ,7    ,B       ,Shannan Will Schumm        ,latia.luettgen@gmail.com    ,984963768
6BA  ,6    ,A       ,Emanuel Wilkinson Langworth,jean.hilpert@yahoo.com      ,952676344
8BA  ,8    ,A       ,Dave Toy O'Hara            ,lionel.ullrich@hotmail.com  ,961099715
1BA  ,1    ,A       ,Towanda Howell Brown       ,chester.kuhic@gmail.com     ,958484220
4MA  ,12   ,A       ,Leopoldo Hermann Ledner    ,stuart.shields@gmail.com    ,998528877
2MA  ,10   ,A       ,Inocencia Kiehn Ferry      ,winston.hermiston@yahoo.com ,958311343
2MB  ,10   ,B       ,Louetta Farrell Marks      ,laree.breitenberg@yahoo.com ,964174508
3MA  ,11   ,A       ,Santana Frami Greenholt    ,edmond.bailey@hotmail.com   ,965428490
7BA  ,7    ,A       ,Clark Turcotte Littel      ,franklyn.spinka@yahoo.com   ,986500592
3BA  ,3    ,A       ,Irene Kuvalis Bernier      ,lionel.crooks@hotmail.com   ,994742247
3BB  ,3    ,B       ,Mahalia Crona Mertz        ,eldridge.hermiston@gmail.com,981289518
